,by,descendants,id,kids,score,time,title,type,url,text
16,BSDobelix,63.0,42163597,"[42164371, 42164065, 42165315, 42163717, 42164334, 42163953, 42164079, 42163820, 42163756, 42165865, 42164013, 42168645, 42164470]",224,1731843515,Bpftune uses BPF to auto-tune Linux systems,story,https://github.com/oracle/bpftune,
17,rkp8000,7.0,42127609,"[42169463, 42167700, 42167516, 42168628, 42168914, 42169504]",67,1731516313,An alternative construction of Shannon entropy,story,https://rkp.science/an-alternative-construction-of-shannon-entropy/,
18,warothia,24.0,42165759,"[42167039, 42165760, 42167079, 42166517]",84,1731867134,Hobby Project: A dynamic C (Hot reloading) module-based Web Framework,story,https://github.com/joexbayer/c-web-modules,
19,throw0101c,11.0,42168953,"[42170055, 42169447, 42169375, 42169860, 42169400]",22,1731893611,Why Not Bluesky,story,https://www.tbray.org/ongoing/When/202x/2024/11/15/Not-Bluesky,
20,zdw,12.0,42108933,"[42168035, 42169470, 42166754, 42166391]",84,1731347082,ML in Go with a Python Sidecar,story,https://eli.thegreenplace.net/2024/ml-in-go-with-a-python-sidecar/,
21,mooreds,85.0,42166606,"[42167034, 42168140, 42167811, 42167210, 42168027, 42168638, 42166830, 42168727, 42167241, 42167807]",192,1731873264,Why did Windows 95 setup use three operating systems?,story,https://devblogs.microsoft.com/oldnewthing/20241112-00/?p=110507,
22,gus_leonel,70.0,42162878,"[42163816, 42163167, 42165276]",169,1731833069,Constraints in Go,story,https://bitfieldconsulting.com/posts/constraints,
23,ksec,1.0,42167809,[42170087],23,1731881484,Nokolexbor: Drop-in replacement for Nokogiri. 5.2x faster at parsing HTML,story,https://github.com/serpapi/nokolexbor,
24,mitchbob,8.0,42122968,"[42123813, 42169838, 42169302, 42123657]",22,1731472905,Samantha Harvey's 'beautiful and ambitious' Orbital wins Booker prize,story,https://www.theguardian.com/books/2024/nov/12/orbital-by-samantha-harvey-wins-booker-prize-2024,
25,akopkesheshyan,5.0,42112168,"[42167972, 42168429, 42168867, 42169357, 42168603]",39,1731377001,Show HN: Store and render ASCII diagrams in Obsidian,story,https://github.com/akopdev/obsidian-textgrams,"Obsidian plug-in that allows you to create and store ASCII diagrams in your notes. It can be used to visualise diagrams, flowcharts, complex tables, Gantt charts and more in technical documentation, that will be rendered as a nice SVG graphics."
26,OuterVale,1.0,42168604,[42170074],9,1731889680,Wiby – Search Engine for the Classic Web,story,https://wiby.me/,
27,omarsar,0.0,42164637,,48,1731857018,A Taxonomy of AgentOps,story,https://arxiv.org/abs/2411.05285,
28,arkohut,26.0,42163978,"[42170127, 42169506, 42163979, 42169415, 42168248, 42165267, 42168149, 42165411, 42165442]",97,1731848385,Memos – An open source Rewinds / Recall,story,https://github.com/arkohut/memos,
29,almusdives,15.0,42147110,"[42170215, 42164198, 42165011, 42147286, 42163995, 42165250, 42164161, 42164023, 42164738, 42164890]",121,1731679999,Show HN: Zyme – An Evolvable Programming Language,story,https://zyme.dev,Zyme is an esoteric language for genetic programming: creating computer programs by means of natural  selection.
30,mmphosis,148.0,42165057,"[42165704, 42167919, 42166988, 42165825, 42165926, 42165792, 42166813, 42167150, 42166568, 42168333, 42167934, 42168430, 42166133, 42169786, 42167276, 42167110, 42166033, 42166644, 42165794, 42166223, 42166983, 42166201, 42169595, 42169338, 42169155, 42168314, 42167432, 42168356, 42167434, 42166610]",295,1731861266,Good Software Development Habits,story,https://zarar.dev/good-software-development-habits/,
31,LorenDB,26.0,42146718,"[42149853, 42166765, 42166471, 42165003, 42165595, 42165403, 42166619, 42168304]",59,1731677228,The bucket brigade device: An analog shift register,story,https://10maurycy10.github.io/misc/bbd/,
32,wglb,5.0,42118298,"[42170067, 42166406, 42166303, 42166181]",26,1731436707,Transistor for fuzzy logic hardware: promise for better edge computing,story,https://techxplore.com/news/2024-11-transistor-reconfigurable-fuzzy-logic-hardware.html,
33,laserduck,219.0,42156516,"[42157629, 42157457, 42158390, 42157355, 42158340, 42158417, 42169761, 42157573, 42165538, 42160518, 42158132, 42165008, 42158634, 42157485, 42157675, 42158399, 42163615, 42158537, 42160807, 42159298, 42165321, 42167253, 42158561, 42157451, 42157319, 42158010, 42159516, 42158318, 42169446, 42157405, 42159705, 42160496, 42158068, 42157570, 42158583, 42158733, 42166475, 42157829, 42158586, 42157823, 42157721, 42161518, 42159412, 42160724, 42157468, 42157445, 42158047, 42157406]",266,1731766037,YC is wrong about LLMs for chip design,story,https://www.zach.be/p/yc-is-wrong-about-llms-for-chip-design,
34,fzliu,26.0,42162622,"[42164036, 42164182, 42163723, 42163898, 42163036, 42164083, 42164014, 42163393, 42166275, 42163961, 42167543]",240,1731829328,"All-in-one embedding model for interleaved text, images, and screenshots",story,https://blog.voyageai.com/2024/11/12/voyage-multimodal-3/,
35,hackandthink,6.0,42165517,"[42165913, 42168079, 42166047, 42168097]",39,1731865079,The World Grid and New Geographies of Cooperation,story,https://centerforneweconomics.org/newsletters/the-world-grid-and-new-geographies-of-cooperation/,
36,todsacerdoti,3.0,42147833,"[42166828, 42155125]",33,1731685013,Fuzzing the PHP Interpreter via Dataflow Fusion,story,https://arxiv.org/abs/2410.21713,
37,onemind,28.0,42130764,"[42170251, 42165515, 42165235, 42165996, 42166383, 42165061, 42164462, 42165636, 42164346, 42164590]",64,1731536267,Sentence Structure for Writers (2017),story,https://blog.oup.com/2017/11/sentence-structure-for-writers/,
38,thunderbong,1.0,42168576,[42169830],7,1731889380,"ChibiHash: Small, Fast 64 bit hash function",story,https://nrk.neocities.org/articles/chibihash,
39,gherkinnn,113.0,42164154,"[42164537, 42164501, 42165501, 42164379, 42168752, 42164427, 42164848, 42165841, 42168852, 42164806, 42164508, 42165828, 42165601, 42168116, 42165436, 42164610, 42164849, 42165070, 42164490, 42164476, 42165905, 42165402]",209,1731851043,The myth that you can’t build interactive web apps except as single page app,story,https://htmx.org/essays/you-cant/,
40,boscillator,35.0,42115161,"[42163893, 42163973, 42163724, 42164858, 42163690, 42167093, 42164160, 42164044, 42164166]",67,1731416581,Unit Testing Numerical Routines,story,https://buchanan.one/blog/testing-numerical-algorithms/,
41,LinuxBender,48.0,42167887,"[42168176, 42169772, 42168326, 42168221, 42169233, 42168420, 42169537]",71,1731882067,Drinking water systems for 26M Americans face high cybersecurity risks,story,https://www.scworld.com/news/drinking-water-systems-for-26m-americans-face-high-cybersecurity-risks,
42,shepherdjerred,88.0,42104568,"[42170026, 42169631, 42163486, 42164121, 42164574, 42163550, 42163213, 42163721, 42167599, 42163178, 42162779, 42162817, 42165744, 42162921, 42169181, 42166447, 42164147, 42163217, 42162774, 42162790, 42162741, 42164250]",71,1731298731,Recovering from a kidney donation,story,https://sjer.red/blog/2024/kidney/,
43,Brajeshwar,14.0,42164491,"[42167547, 42165318]",37,1731855384,Battery-Free Bioelectronic Implants,story,https://www.chemistryworld.com/features/battery-free-bioelectronic-implants/4020431.article,
44,caspg,187.0,42164141,"[42165457, 42165689, 42165822, 42164682, 42166029, 42164142, 42164394, 42165433, 42169321, 42164768, 42164354, 42166766, 42165475, 42166061, 42164815, 42164752, 42164583, 42164495, 42164456, 42164653]",191,1731850779,Claude AI built me a React app to compare maps side by side,story,https://github.com/veloplanner/map-matrix,
45,bentocorp,0.0,42167763,,10,1731881185,Solar-powered desalination system requires no extra batteries,story,https://news.mit.edu/2024/solar-powered-desalination-system-requires-no-extra-batteries-1008,
46,ghostpepper,0.0,42167692,,5,1731880758,eBPF Verifier Code Review – NCC Group [pdf],story,https://www.nccgroup.com/media/4lilthtf/ncc_group_nccgroup_e015561_report_2024-11-11_v10.pdf,
47,consumer451,134.0,42159786,"[42163194, 42159787, 42161576, 42161296, 42163975, 42162933, 42162907, 42165198, 42162240, 42161531, 42161213, 42161202, 42164876, 42161685, 42165096, 42162599, 42163062, 42163489, 42164525, 42161866, 42163442, 42161370, 42162049, 42161406, 42161270, 42162197, 42162040, 42163265, 42161424, 42164968, 42164908, 42161199, 42165377, 42163913, 42161391, 42163006, 42162954, 42162262, 42161649, 42161330, 42161662, 42161626, 42161616, 42162323]",524,1731794878,The Bluesky firehose viewed in the style of a Windows XP screensaver,story,https://firehose3d.theo.io/,
48,signa11,2.0,42169518,"[42170080, 42169899]",7,1731901001,Linux Kernel 6.12 Has Landed – and It's a Big One,story,https://www.omgubuntu.co.uk/2024/11/linux-kernel-6-12-has-landed-and-its-a-big-one,
49,kentonv,330.0,42156977,"[42160767, 42159307, 42160174, 42159254, 42160354, 42159467, 42164826, 42159387, 42159242, 42159239, 42159152, 42163902, 42159160, 42160558, 42158909, 42166172, 42159722, 42162759, 42164098, 42164140, 42159799, 42163588, 42160095, 42160491, 42164843, 42158519, 42162602, 42161153, 42164726, 42161864, 42159083, 42158668, 42163870, 42159309, 42161725, 42158511, 42164596, 42159698, 42161129, 42163406, 42161008, 42162269, 42158785, 42159166, 42161609, 42162965, 42162670, 42161988, 42161221, 42161687, 42159240, 42159519, 42161175, 42159684, 42159365, 42162352, 42159669, 42161103, 42161373, 42160553, 42158908, 42158653, 42158881, 42159522, 42159099, 42163407, 42165347, 42158763, 42158805, 42159899, 42159961, 42163155, 42162693, 42163239, 42158758, 42158713, 42159536, 42158836, 42160273, 42163537, 42163525, 42163523, 42163301, 42158944, 42159661, 42161124, 42161590, 42159905, 42164285, 42157010, 42159046, 42166065, 42159373, 42160442, 42164913, 42158659, 42159933]",958,1731772359,Show HN: I built a(nother) house optimized for LAN parties,story,https://lanparty.house/,"I wasn&#x27;t quite sure if this qualified as &quot;Show HN&quot; given you can&#x27;t really download it and try it out. However, dang said[0]:<p>&gt; If it&#x27;s hardware or something that&#x27;s not so easy to try out over the internet, find a different way to show how it actually works—a video, for example, or a detailed post with photos.<p>Hopefully I did that?<p>Additionally, I&#x27;ve put code and a detailed guide for the netboot computer management setup on GitHub:<p><a href=""https:&#x2F;&#x2F;github.com&#x2F;kentonv&#x2F;lanparty"">https:&#x2F;&#x2F;github.com&#x2F;kentonv&#x2F;lanparty</a><p>Anyway, if this shouldn&#x27;t have been Show HN, I apologize!<p>[0] <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=22336638"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=22336638</a>"
50,thunderbong,167.0,42161919,"[42162264, 42162076, 42162230, 42162206, 42164551, 42162348, 42162079, 42164870, 42164613, 42164658, 42163040, 42163073, 42162867, 42162082, 42168376, 42162236, 42163467, 42165464, 42162092, 42163359, 42163039, 42162111, 42163115, 42162231, 42163165, 42162425, 42163222, 42163151, 42162879, 42162191, 42162939, 42163346, 42162415]",794,1731817092,CSS gets a new logo and it uses the color `rebeccapurple`,story,https://michaelcharl.es/aubrey/en/code/new-rebeccapurple-css-logo,
51,sks147,65.0,42162751,"[42164554, 42166791, 42169945, 42167269, 42165326, 42164603, 42165217, 42164318, 42165922, 42167525, 42168294, 42165502, 42166934, 42168643, 42168524, 42166358, 42166143, 42165707, 42166738, 42165578, 42165782, 42164680, 42165736, 42165882]",104,1731831247,How to setup self hosted wiki for your startup,story,https://themythicalengineer.com/how-to-setup-self-hosted-wiki-for-your-startup.html,
52,trelane,10.0,42162205,"[42164808, 42169367, 42163923, 42166600, 42163890, 42163988]",52,1731821487,DIMM vs. Udimm vs. Rdimm vs. Sodimm vs. Cudimm: What's the Difference?,story,https://www.corsair.com/us/en/explorer/diy-builder/memory/dimm-vs-udimm-vs-rdimm-vs-sodimm-vs-cudimm-whats-the-difference/,
53,thisismytest,113.0,42161664,"[42162814, 42161995, 42169694, 42168674, 42162022, 42163107, 42162021, 42163735]",152,1731812582,Two Nobel Prize winners want to cancel their own CRISPR patents in Europe,story,https://www.technologyreview.com/2024/09/25/1104475/nobel-prize-winners-cancel-crispr-patents-europe/,
54,signa11,31.0,42160647,"[42161983, 42164385, 42162096, 42161901, 42162292, 42169584, 42161922, 42162973, 42167743, 42162872, 42165154, 42161891, 42165400, 42162984, 42161433, 42167662, 42164040, 42163998, 42164248, 42163838, 42161605, 42161439, 42164310]",245,1731801163,James Gleick's Chaos: The Software,story,https://github.com/rudyrucker/chaos,
55,bentocorp,59.0,42167749,"[42169280, 42169954, 42169642, 42169292, 42169384, 42169252, 42169517, 42169177, 42169493, 42169430, 42170149, 42169282, 42169210, 42169459, 42169842, 42169197, 42169347, 42169856, 42170156]",50,1731881111,Is Chrome the New IE? (2023),story,https://www.magiclasso.co/insights/is-chrome-the-new-ie/,
56,rurban,0.0,42163569,,22,1731843333,Compiler Optimization in a Language You Can Understand,story,https://sbaziotis.com/compilers/compiler-opt.html,
57,codetrotter,36.0,42161223,"[42163252, 42162355, 42163114, 42162502, 42163010, 42164600, 42162497, 42161809]",142,1731807122,Xogot – Godot for iPad,story,https://xogot.com/,
58,pieterr,175.0,42157558,"[42159121, 42158506, 42161495, 42159453, 42163230, 42158703, 42162727, 42158508, 42158530, 42159383, 42159540, 42158940, 42158747, 42158974, 42158869, 42158478, 42164715, 42164909, 42159874, 42158823, 42158589, 42159071, 42164918, 42160220, 42158956, 42162717, 42160938, 42160676, 42161949, 42162074, 42161114, 42161453, 42163608, 42169021, 42161128, 42162128, 42158611, 42161071, 42159862, 42162029]",435,1731777819,SICP: The only computer science book worth reading twice? (2010),story,https://simondobson.org/2010/05/14/cs-book-worth-reading-twice/,
59,cenazoic,1.0,42163872,[42168181],21,1731846957,Shadow Boxing (2016),story,https://www.espn.com/espn/eticket/story?page=091216/jimmyrobinson&redirected=true,
60,todsacerdoti,2.0,42169467,"[42170150, 42169730]",8,1731900286,The missing text focused programming environment,story,https://utcc.utoronto.ca/~cks/space/blog/programming/MissingTextProgrammingEnvironment,
61,lapnect,3.0,42162673,"[42167789, 42169591]",32,1731829928,A 15-minute intro to involute gears,story,https://lcamtuf.substack.com/p/a-15-minute-intro-to-involute-gears,
62,LinuxBender,122.0,42168652,"[42169029, 42169339, 42169014, 42168915, 42169355, 42168744, 42169604, 42169127, 42169273, 42169047, 42168795, 42168701, 42168920, 42168777, 42169568, 42168695, 42168722]",93,1731890374,"Teen serial swatter-for-hire busted, pleads guilty, could face 20 years",story,https://www.theregister.com/2024/11/18/teenage_serial_swatterforhire_busted/,
63,Anon84,67.0,42160071,"[42161878, 42161079, 42161850, 42161620, 42165334, 42160894, 42161807, 42164294, 42161047, 42163720, 42169478, 42161171, 42164522, 42163384, 42161722, 42164261, 42162226, 42162163, 42161843, 42162891, 42161230, 42161025, 42163297]",228,1731797029,Teach yourself to echolocate (2018),story,https://www.atlasobscura.com/articles/how-to-echolocate,
64,sans_souse,40.0,42163883,"[42164898, 42164269, 42164090, 42164972, 42165313, 42164094, 42164291, 42164446, 42164810, 42165342, 42165022]",130,1731847152,Cloudflare.com's Robots.txt,story,https://www.cloudflare.com/robots.txt,
65,wglb,92.0,42157335,"[42158640, 42157343, 42162305, 42164429, 42157918, 42164311, 42164304, 42158887, 42158113, 42161111, 42158229, 42161437]",260,1731775713,Two galaxies aligned in a way where their gravity acts as a compound lens,story,https://phys.org/news/2024-11-astronomers-galaxies-aligned-gravity-compound.html,
66,jason1610,0.0,42167083,,5,1731876426,Turn a JPEG into a Warzone,story,https://jason1610.github.io/PixelAttack/,
67,Pringled,1.0,42164071,[42169777],13,1731849761,Show HN: Model2vec – Lightning-fast Static Embeddings for RAG/Semantic Search,story,https://github.com/MinishLab/model2vec,"We’ve recently open-sourced Model2vec, a method to distill sentence transformers into static embeddings that outperform all previous approaches by a large margin on MTEB. Our new models set a new state-of-the-art for static embeddings. Main features:<p>- Our best model (potion-base-8M) has only 8M parameters, which is ~30mb on disk<p>- Inference is ~500x faster than the distilled base model (bge-base), on a CPU<p>- New models can be distilled in 30 seconds on a CPU without requiring a dataset - just a vocabulary<p>- Numpy-only inference: The packaged can be install the package with minimal dependencies for lightweight deployments<p>- The library is integrated in SentenceTransformers, making it easy to use with other popular libraries<p>We built this because we think static embeddings can provide a hardware friendly alternative to many of the larger embedding models out there, while still being performant enough to power usecases such as RAG, or semantic search. We are curious to hear your feedback on this and whether there’s any usecases you can think of that we have not explored yet!<p>Link to the code and results: <a href=""https:&#x2F;&#x2F;github.com&#x2F;MinishLab&#x2F;model2vec"">https:&#x2F;&#x2F;github.com&#x2F;MinishLab&#x2F;model2vec</a>"
68,mbrt,3.0,42164058,"[42170159, 42164059, 42164124]",14,1731849633,Transactional Object Storage?,story,https://blog.mbrt.dev/posts/transactional-object-storage/,
69,todsacerdoti,0.0,42164050,,12,1731849493,Losing NFS locks and the SunOS SIGLOST signal,story,https://utcc.utoronto.ca/~cks/space/blog/unix/NFSLosingLocksAndSIGLOST,
70,mikhael,86.0,42165849,"[42169069, 42168565, 42169070, 42167698, 42166684, 42166070, 42169230, 42169101, 42166289, 42166963, 42169285, 42168965, 42167850, 42166982, 42169738, 42167833, 42169707, 42167937, 42166748]",114,1731867897,"Lucid dreaming app triples users' awareness in dreams, study finds",story,https://www.psypost.org/lucid-dreaming-app-triples-users-awareness-in-dreams-study-finds/,
71,samuelklam,,42155976,,1,1731758462,PermitFlow (YC W22) is hiring senior/staff engineers in NYC,job,https://jobs.ashbyhq.com/permitflow?departmentId=d33195eb-8978-4439-abc6-5a8a072de808,
72,todsacerdoti,9.0,42161284,"[42164020, 42162612]",42,1731807798,One-parting some Commodore 64 utilities for fun and profit,story,http://oldvcr.blogspot.com/2024/11/one-parting-some-commodore-64-utilities.html,
73,stefankuehnel,0.0,42164923,,5,1731859874,Defending Open Source: Protecting the Future of WordPress,story,https://automattic.com/2024/protecting-wordpress/,
74,liamilan,1.0,42166940,[42170208],9,1731875401,"Show HN: Terminal3d – View 3D Models in Your Terminal, Built with Rust",story,https://github.com/liam-ilan/terminal3d,
75,lowdanie,0.0,42166822,,6,1731874686,Show HN: Understanding the Bloch Sphere,story,https://www.daniellowengrub.com/blog/2024/10/21/bloch-sphere,
76,vinni2,19.0,42167453,"[42168903, 42169156, 42168799, 42169171, 42168123, 42168341, 42169426, 42167570, 42168661]",27,1731878871,A.I. Chatbots Defeated Doctors at Diagnosing Illness,story,https://www.nytimes.com/2024/11/17/health/chatgpt-ai-doctors-diagnosis.html,
77,mariuz,5.0,42150605,"[42160282, 42157085, 42163940, 42159779, 42165920]",92,1731702593,Pleasant Debugging with GDB and DDD,story,https://begriffs.com/posts/2022-07-17-debugging-gdb-ddd.html,
78,nholden,44.0,42120981,"[42163799, 42165058, 42163409, 42163765, 42163901, 42164148, 42163840, 42164208, 42168720, 42164349, 42164516, 42164431, 42163700, 42164782, 42163533, 42164325]",57,1731453281,How we made a Ruby method 200x faster,story,https://www.campsite.com/blog/how-we-made-a-ruby-method-200x-faster,
79,elviskimara,20.0,42168665,"[42170228, 42169179, 42169896, 42168968, 42168860, 42168906, 42168962, 42169037, 42168877, 42168872, 42169175, 42169057, 42169699]",32,1731890504,Why LLMs Within Software Development May Be a Dead End,story,https://thenewstack.io/why-llms-within-software-development-may-be-a-dead-end/,
80,motownphilly,0.0,42168945,,7,1731893556,An man guilty of Bitcoin laundering must forfeit over $400M in asset,story,https://www.theverge.com/2024/11/17/24298962/larry-dean-harmon-charged-bitcoin-laundering-helix-mixer-cryptocurrency-darknet,
81,ingve,7.0,42113912,"[42162866, 42162720]",28,1731402319,When Abstractions Break,story,https://codeblog.jonskeet.uk/2024/11/11/when-abstractions-break/,
82,jchanimal,160.0,42158130,"[42159672, 42158987, 42160021, 42164315, 42159465, 42158134, 42163168, 42159810, 42162000, 42159827, 42161304, 42159940, 42160851, 42160878, 42158729, 42160646]",340,1731781982,James Webb Space Telescope finds evidence for alternate theory of gravity,story,https://thedebrief.org/james-webb-space-telescope-finds-stunning-evidence-for-alternate-theory-of-gravity/,
83,LinuxBender,3.0,42168896,[42169398],4,1731893106,Linux Fixes Hosts Randomly Rebooting During Virtualization with Ryzen 7000/8000,story,https://www.phoronix.com/news/Linux-Clear-VMLOAD-VMSAVE-Zen4,
84,_saman_,1.0,42169206,[42169296],5,1731896953,The Small Internet Has Succeeded,story,https://cheapskatesguide.org/articles/small-internet-succeeded.html,
85,thunderbong,1.0,42161987,[42167819],31,1731818136,Usql: Universal command-line interface for SQL databases,story,https://github.com/xo/usql,
86,bwidlar,11.0,42155745,"[42159230, 42161426, 42162067, 42156716, 42160022]",86,1731754142,C Compiler to SPIR-V,story,https://github.com/heroseh/hcc,
87,storf45,896.0,42153953,"[42160502, 42157774, 42157120, 42154253, 42157048, 42156776, 42154562, 42153999, 42159134, 42154036, 42160334, 42160548, 42161752, 42159350, 42154094, 42169834, 42157053, 42158173, 42154638, 42154030, 42154154, 42154263, 42154255, 42154089, 42160215, 42154042, 42155407, 42155456, 42154220, 42154163, 42156992, 42154930, 42154430, 42161890, 42160665, 42163544, 42154083, 42154317, 42154099, 42154016, 42161762, 42154250, 42159649, 42154535, 42154261, 42156732, 42154148, 42154205, 42154897, 42154715, 42154394, 42154037, 42160466, 42154587, 42156724, 42159618, 42157003, 42157029, 42164011, 42156970, 42157282, 42161706, 42162772, 42158730, 42161277, 42159865, 42157919, 42154045, 42154749, 42159052, 42158220, 42162408, 42157083, 42154559, 42159040, 42154268, 42154388, 42154661, 42156601, 42154594, 42154058, 42162530, 42159232, 42154064, 42154071, 42154512, 42154922, 42154751, 42154123, 42158452, 42158635, 42154802, 42154273, 42154398, 42154691, 42154080, 42159644, 42159654, 42154103, 42159179, 42154081, 42154274, 42157139, 42157060, 42154633, 42154147, 42157073, 42154482, 42157079, 42154525, 42155379, 42159635, 42159675, 42154175, 42159677, 42157213, 42160696, 42154120, 42155117, 42157022, 42154085, 42157092, 42154258, 42162097, 42154086, 42161568, 42158217, 42161323, 42161252, 42154104, 42159920, 42154063, 42159329, 42154683, 42154235, 42157130, 42157078, 42155891, 42154569, 42162075, 42154101, 42154035, 42160128, 42154065, 42158435, 42157147, 42154141, 42163879, 42154672, 42154098, 42154164, 42154003, 42161652]",472,1731728525,Netflix buffering issues: Boxing fans complain about Jake Paul vs. Mike Tyson,story,https://www.sportingnews.com/us/boxing/news/netflix-buffering-livestream-issues-boxing-jake-paul-mike-tyson/327ee972d4b14d90cc370461,
88,akyuu,84.0,42164272,"[42165452, 42168730, 42164996, 42165122, 42165090, 42166320, 42165197, 42165576, 42165586, 42165371, 42165322, 42165314, 42167715]",72,1731852906,Huawei developing SSD-tape hybrid amid US tech restrictions,story,https://blocksandfiles.com/2024/11/08/huawei-developing-meds-to-combat-disk-ship-stop-sickness/,
89,sam42,1.0,42166085,[42166118],4,1731869772,OpenWrt: Major Change Notice: New Package Manager,story,https://forum.openwrt.org/t/major-change-notice-new-package-manager/215682,
90,BSDobelix,104.0,42155780,"[42156968, 42156739, 42158609, 42159914, 42156736, 42156775, 42156872, 42156648, 42157687, 42157068, 42164592, 42165508, 42160846, 42164960, 42157464, 42158398, 42157732, 42157882, 42157028, 42156714, 42157194]",306,1731754735,Yggdrasil Network,story,https://yggdrasil-network.github.io/,
91,tosh,10.0,42167987,"[42168858, 42169674, 42168336, 42168534, 42168678]",16,1731882947,Apple Seemingly Discontinuing Lightning to Headphone Jack Adapter,story,https://www.macrumors.com/2024/11/17/lightning-to-headphone-jack-adapter-sold-out/,
